busId,timestamp,latitude,longitude,speed
busId,timestamp,0,000000,0,000000,0,00
BUS01,2025-05-15T11:15:00,40,424052,-3,703260,37,40
BUS01,2025-05-15T11:16:00,40,423814,-3,703130,58,68
BUS01,2025-05-15T11:17:00,40,424058,-3,702748,59,62
BUS01,2025-05-15T11:18:00,40,424517,-3,702990,18,85
BUS01,2025-05-15T11:19:00,40,424752,-3,702742,36,18
BUS01,2025-05-15T11:20:00,40,425046,-3,703237,9,82
BUS01,2025-05-15T11:21:00,40,425358,-3,703197,14,68
BUS01,2025-05-15T11:22:00,40,425091,-3,702909,18,68
BUS01,2025-05-15T11:23:00,40,424870,-3,703113,35,98
BUS01,2025-05-15T11:24:00,40,424438,-3,702720,28,83
BUS01,2025-05-15T11:25:00,40,423952,-3,702521,59,69
BUS01,2025-05-15T11:26:00,40,424021,-3,702355,53,44
BUS01,2025-05-15T11:27:00,40,424270,-3,702430,50,81
BUS01,2025-05-15T11:28:00,40,424083,-3,702698,49,38
BUS01,2025-05-15T11:29:00,40,423998,-3,702277,30,39
BUS01,2025-05-15T11:30:00,40,423700,-3,702066,40,86
BUS01,2025-05-15T11:31:00,40,423357,-3,701686,32,32
BUS01,2025-05-15T11:32:00,40,423253,-3,701348,22,73
BUS01,2025-05-15T11:33:00,40,423398,-3,700893,13,18
BUS01,2025-05-15T11:34:00,40,423422,-3,700869,0,99
BUS01,2025-05-15T11:35:00,40,423399,-3,700509,19,98
BUS01,2025-05-15T11:36:00,40,423097,-3,700061,3,68
BUS01,2025-05-15T11:37:00,40,423324,-3,700152,24,78
BUS01,2025-05-15T11:38:00,40,423520,-3,700496,52,70
BUS01,2025-05-15T11:39:00,40,423781,-3,700664,8,56
BUS01,2025-05-15T11:40:00,40,423400,-3,700339,38,44
BUS01,2025-05-15T11:41:00,40,423874,-3,700196,58,86
BUS01,2025-05-15T11:42:00,40,423954,-3,700256,57,40
BUS01,2025-05-15T11:43:00,40,423833,-3,700245,33,96
BUS01,2025-05-15T11:44:00,40,424275,-3,700019,2,80
BUS01,2025-05-15T11:45:00,40,424127,-3,700404,27,41
BUS01,2025-05-15T11:46:00,40,424347,-3,700321,51,61
BUS01,2025-05-15T11:47:00,40,424819,-3,700331,12,08
BUS01,2025-05-15T11:48:00,40,424771,-3,700586,4,52
BUS01,2025-05-15T11:49:00,40,424739,-3,700302,6,00
BUS01,2025-05-15T11:50:00,40,424871,-3,700318,40,91
BUS01,2025-05-15T11:51:00,40,424779,-3,700527,49,46
BUS01,2025-05-15T11:52:00,40,424494,-3,700808,34,81
BUS01,2025-05-15T11:53:00,40,424233,-3,700796,53,90
BUS01,2025-05-15T11:54:00,40,424181,-3,701133,54,14
BUS01,2025-05-15T11:55:00,40,424014,-3,701466,59,13
BUS01,2025-05-15T11:56:00,40,424317,-3,701730,10,97
BUS01,2025-05-15T11:57:00,40,424093,-3,701652,42,77
BUS01,2025-05-15T11:58:00,40,423708,-3,701498,59,03
BUS01,2025-05-15T11:59:00,40,424014,-3,701074,0,62
BUS01,2025-05-15T12:00:00,40,423938,-3,701309,34,13
BUS01,2025-05-15T12:01:00,40,423531,-3,701492,30,58
BUS01,2025-05-15T12:02:00,40,423896,-3,701114,57,95
BUS01,2025-05-15T12:03:00,40,423412,-3,701276,38,92
BUS01,2025-05-15T12:04:00,40,423400,-3,700894,34,51
BUS01,2025-05-15T12:05:00,40,423309,-3,700578,41,42
BUS01,2025-05-15T12:06:00,40,423294,-3,700939,55,92
BUS01,2025-05-15T12:07:00,40,422948,-3,701079,43,88
BUS01,2025-05-15T12:08:00,40,422488,-3,701354,30,04
BUS01,2025-05-15T12:09:00,40,422041,-3,701620,56,22
BUS01,2025-05-15T12:10:00,40,421709,-3,701884,21,90
BUS01,2025-05-15T12:11:00,40,421391,-3,701643,8,85
BUS01,2025-05-15T12:12:00,40,421068,-3,702124,23,43
BUS01,2025-05-15T12:13:00,40,420955,-3,701827,44,49
BUS01,2025-05-15T12:14:00,40,420631,-3,701785,9,16
BUS02,2025-05-15T11:15:00,40,419265,-3,698091,4,56
BUS02,2025-05-15T11:16:00,40,419644,-3,698045,48,68
BUS02,2025-05-15T11:17:00,40,419484,-3,698061,57,18
BUS02,2025-05-15T11:18:00,40,419428,-3,697821,51,74
BUS02,2025-05-15T11:19:00,40,419292,-3,698094,52,72
BUS02,2025-05-15T11:20:00,40,419322,-3,698229,57,27
BUS02,2025-05-15T11:21:00,40,419483,-3,697954,18,14
BUS02,2025-05-15T11:22:00,40,419173,-3,698443,29,58
BUS02,2025-05-15T11:23:00,40,419177,-3,698531,19,10
BUS02,2025-05-15T11:24:00,40,419209,-3,698520,52,56
BUS02,2025-05-15T11:25:00,40,419103,-3,698303,1,24
BUS02,2025-05-15T11:26:00,40,419601,-3,698062,32,19
BUS02,2025-05-15T11:27:00,40,419583,-3,698293,35,82
BUS02,2025-05-15T11:28:00,40,419457,-3,698757,45,16
BUS02,2025-05-15T11:29:00,40,419183,-3,698920,21,07
BUS02,2025-05-15T11:30:00,40,418817,-3,698960,17,96
